,월,작업유형,절감항목,A.집행비,B.공사비 적용시,절감비(A-B),비고,,
,2025-01-16,공사성 영선 전환(관리소),A-802-6 난방불량 - 구동기 작동불량으로 교체," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-01-17,공사성 영선 전환(관리소),9-303 주방 타일 실리콘 작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-01-23,공사성 영선 전환(관리소),2-303 현관 디지털도어락 작동불량으로 교체_ 현관 수동도어락 문틀 캣치박스 불량_ 파손으로 캣치재설치," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-03,공사성 영선 전환(관리소),1-101 주방 천장(씽크대 상부) 누수 점검 및 조치 - 201호 주방 씽크대 원홀 수전 누수로 교체," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-04,공사성 영선 전환(관리소),5동 304호 누수탐지 및 보수(미래설비)," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-04,공사성 영선 전환(관리소),5-501 주방 펜 필터 2개 교체_ 욕실 벽면 모서리 실리콘 작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-04,공사성 영선 전환(관리소),7-204 뒤베란다 및 주방 씽크대 상부 크랙 실리콘 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-05,공사성 영선 전환(관리소),8-403 주방 씽크대 중앙하부장 우측문 탈락 및 유격발생- 문 분리후 추가타공 재고정후 유격조절후 문설치," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-07,공사성 영선 전환(관리소),A-203-3 양변기 안착 및 실리콘 고정_ 바닥 벽 테두리 실리코 코킹," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-09,공사성 영선 전환(관리소),8-110 욕실 천장 누수- 210 욕실 바닥 배수관 연결부 빠짐으로 연결 부품 조임 처리," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-11,공사성 영선 전환(관리소),B-802-6 난방불량 - 구동기 교체 및 핀밸브 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-13,공사성 영선 전환(관리소),B-704-4 욕실 수납장 다보 8개 교체_ 샤워부스 바닥 실리콘 작업_ 벽면 줄눈 실리콘 작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-13,공사성 영선 전환(관리소),A-804-3 욕실 바닥타일 2장 실리콘 고정_ 줄눈 실리콘 작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-14,공사성 영선 전환(관리소),5-301 누수 보수 - 주방 바닥 온수배관 엘보 보수(미래설비)," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-18,공사성 영선 전환(관리소),8-502 욕실 벽면 모서리 실리콘 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-25,공사성 영선 전환(관리소),A-1002-1 버티컬 날개 5개 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-25,공사성 영선 전환(관리소),B-804-2 욕실 벽타일 줄눈 실리콘 작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-25,공사성 영선 전환(관리소),B-604-3 욕실 출입문 뒤_ 샤워기 뒤 벽타일 모서리 실리콘 보수_ 샤워 유리부스 파티션 바닥 실리콘 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-27,공사성 영선 전환(관리소),2-404 욕실 바닥_ 벽면 모서리 실리콘 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-02-28,공사성 영선 전환(관리소),A-303-2 욕실 양변기 하부 탈락 - 백시멘트 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-03-03,공사성 영선 전환(관리소),B-801호 전체 온도조절기 전원불량 - 메인제어기 전원분리된 상태로 전원 복구. 6번방 구동기 핀고착으로 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-03-11,공사성 영선 전환(관리소),9-304 욕실 벽면 모서리 실리콘 작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-03-19,공사성 영선 전환(관리소),102-406 안방 욕실 바닥 실리콘 부분 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-03-19,공사성 영선 전환(관리소),103-204 주방 씽크대 상판 실리콘 부분 보수작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-03-19,공사성 영선 전환(관리소),A-504-4 욕실 바닥타일 사이드 조각 3개 탈락 코킹 부착_ 코너선반 탈락 고정_ 방문손잡이 흔들림 고정 처리 휴지걸이 탈락 고정 처리," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-03-21,공사성 영선 전환(관리소),1-107_ 8-401 욕실 벽면 모서리 실리콘 작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-03-25,공사성 영선 전환(관리소),A-403-1 방 버티컬 날개 1개 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-03-28,공사성 영선 전환(관리소),B-303-4 세면대 기둥 옆 바닥타일 2개 탈락으로 실리콘 작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-03-30,공사성 영선 전환(관리소),A-303-2 난방조절안됨 - 구동기 전체 분리 재연결. 조작 컨트롤러 휴즈 교체 및 필밸브 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-04-02,공사성 영선 전환(관리소),B-302-1 욕실 바닥타일 줄눈 실리콘 작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-04-03,공사성 영선 전환(관리소),A-403-1 베란다 방충망 하단 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-04-03,공사성 영선 전환(관리소),B-302-1 베란다 방충망 하단 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-04-04,공사성 영선 전환(관리소),3-221 블라인드 하부 프레임 파손 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-04-04,공사성 영선 전환(관리소),B-1001-3 베란다 방충망 하단 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-04-07,공사성 영선 전환(관리소),B-304-3 욕실 탈일 줄눈(6군데) 실리콘 작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-04-07,공사성 영선 전환(관리소),A-203-1 베란다 상단 모서리 크랙 실리콘 작업. 욕실 수납장_ 다보 및 유리설치 욕실 세면대 I트랩_ 자동풉업 교체," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-04-08,공사성 영선 전환(관리소),7-302 주방 및 욕실 실리콘 작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-04-08,공사성 영선 전환(관리소),8-209 주방 및 욕실 실리콘 작업," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-04-15,공사성 영선 전환(관리소),A-501-2 욕실 바닥 타일 들뜸 보수 - 타일 부착," 506,325 "," 607,590 ","-101,265 ","""",,
